1732697543.9939046,0.45
1732697549.0076716,-2.5
1732697554.0202754,-2.5
1732697559.0314171,0.74
1732697564.050253,-0.3
1732697569.0642838,0.97
1732697574.0751257,-1.31
1732697579.0880966,-0.76
1732697584.0984507,0.87
1732697589.1109364,-0.46
1732697594.124269,0.35
1732697599.1357112,0.63
1732697604.1467474,0.75
1732697609.1589308,0.76
1732697614.1731422,-1.38
1732697619.1812046,-0.08
1732697624.1920753,0.43
1732697629.205181,0.73
1732697634.2135596,0.89
1732697639.220275,0.86
1732697644.238668,0.78
1732697649.2491572,0.4
